,Drone-0-x,Drone-0-y,Drone-1-x,Drone-1-y,Drone-2-x,Drone-2-y,Drone-3-x,Drone-3-y,Drone-4-x,Drone-4-y,Drone-0-v-x,Drone-0-v-y,Drone-1-v-x,Drone-1-v-y,Drone-2-v-x,Drone-2-v-y,Drone-3-v-x,Drone-3-v-y,Drone-4-v-x,Drone-4-v-y
0,0.0,0.0,5.0,2.0,10.0,4.0,15.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.49695,0.2590998412902191,5.794008500031511,1.9647867762776292,9.99585,4.01685,14.314954255000945,1.98302034408684,18.549952882650974,0.170809320731025,150.0,25.94498412902191,79.49085000315111,-3.0563223722370747,-0.415,1.685,-68.13957449990546,-1.6679655913160074,-145.19471173490265,17.3159320731025
2,2.7725089691305027,0.5254797431707472,6.465425477794465,1.9570855579065363,9.99605,4.0366,13.73272786428811,1.9869705815887806,17.31685990606925,0.31122045670339477,128.00089691305027,26.46799018805281,67.37169777629536,-1.2001218371092843,0.02,1.975,-58.42763907128355,0.27502375019406866,-123.69929765817244,13.936113597236975
3,3.8698397902772363,0.7968190957582864,7.034940244453338,1.9743103179094164,9.9939,4.05335,13.232016718788422,2.01824017332185,16.262157619946517,0.43096058014307903,109.26308211467335,26.773935258753923,57.16147666588735,2.1924760002880133,-0.215,1.675,-50.14611454996884,3.186959173306925,-105.41022861227349,11.894012343968425
4,4.8058494503587355,1.0349252699179479,7.518409258450645,2.0380142485995116,9.9925,4.0737,12.798842190260242,2.075710544376211,15.365966732579217,0.5487511445382377,93.13096600814991,23.795617415966156,48.466901399730645,6.245393069009522,-0.14,2.035,-43.047452852818125,5.9370371054361355,-89.79908873673008,11.879056439515864
5,5.599268609791959,1.2148935389860611,7.925040078120909,2.1309025813658096,9.997399999999999,4.0969,12.43290957855969,2.1486803149369322,14.603889313194781,0.6707382022711189,79.35691594332232,17.826826906811316,41.0980819670264,9.148833276629803,0.49,2.32,-36.92326117005527,7.401977056072106,-76.5277419384437,12.11870577328812
6,6.273514448576897,1.3423112231302499,8.271852980037947,2.239398206963151,9.996799999999999,4.1179,12.11382740430396,2.2223532468615077,13.955356641938424,0.7818422371202125,67.68458387849385,13.196768414418884,35.09629019170384,10.604562559734127,-0.06,2.1,-31.76321742557299,7.407293192457539,-65.27826712563574,11.560403484909363
7,6.847499298600291,1.4565604959043477,8.578291536185292,2.35975711463813,9.992949999999999,4.13945,11.844892945908752,2.2922730793530057,13.400489920606422,0.8918552364098254,57.703485002339434,11.214927277409771,30.30385561473448,11.770890767497896,-0.385,2.155,-27.318445839520713,6.7169832491498,-55.66167213320019,11.141299928961294
8,7.339973728370954,1.5581703806299414,8.839391775324248,2.4834149689009055,9.9935,4.1574,11.602212146089583,2.354303332418444,12.926578432296322,0.9979282658782227,49.10244297706629,10.085988472559373,26.10002391389569,12.840785426277538,0.055,1.795,-23.84307998191686,5.788025306543848,-47.36614883100992,10.472302946839724
9,7.750573252903904,1.6542458451969406,9.056519274738802,2.6254247149024006,9.99695,4.17485,11.384652483547377,2.405151100020913,12.528141757847497,1.0927378130486247,41.319952453295016,9.507546456699917,21.617749941455457,13.890974600149505,0.345,1.745,-21.280966254220566,4.584776760246886,-40.0086674448825,9.8009547170402
