,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,vx0,vy0,vx1,vy1,vx2,vy2,vx3,vy3,vx4,vy4,average spacing,time_sin,time_cos,label
109,-8.075093775447908,-7.423864164433425,-5.037200000000001,12.89999999999997,10.144139725680196,14.899999999999961,25.06865608982895,12.89999999999997,27.33240000000009,-8.19093636501555,4.027418367617743,4.591083870873677,-7.059999999999999,10.0,-4.961223441753869,10.0,7.059999999999999,10.0,-6.660000000000004,10.0,27.25408952679653,0.535826794978996,0.8443279255020155,2
110,-8.02501959177173,-7.3238641644334255,-5.098000000000002,12.99999999999997,10.084727491262658,14.999999999999961,25.12945608982895,12.99999999999997,27.25600000000009,-8.09093636501555,5.007418367617744,10.0,-6.079999999999998,10.0,-5.94122344175387,10.0,6.079999999999998,10.0,-7.640000000000004,10.0,27.276787369896937,0.5877852522924729,0.8090169943749476,2
111,-7.9651454080955535,-7.223864164433426,-5.149000000000002,13.09999999999997,10.017005536235668,15.09999999999996,25.180456089828947,13.09999999999997,27.169800000000087,-7.99093636501555,5.987418367617744,10.0,-5.099999999999998,10.0,-6.772195502699013,10.0,5.099999999999998,10.0,-8.620000000000005,10.0,27.277009252246,0.63742398974869,0.770513242775789,2
112,-7.915071224419376,-7.3238641644334255,-5.209800000000002,13.199999999999969,9.950637702577517,15.19999999999996,25.241256089828948,13.199999999999969,27.093400000000088,-8.09093636501555,5.007418367617744,-10.0,-6.079999999999998,10.0,-6.63678336581515,10.0,6.079999999999998,10.0,-7.640000000000004,-10.0,27.267004860373486,0.6845471059286886,0.7289686274214116,2
113,-7.855197040743199,-7.423864164433425,-5.263318110181158,13.299999999999969,9.894069868919365,15.29999999999996,25.311856089828947,13.299999999999969,27.007200000000086,-8.153097501545519,5.987418367617744,-10.0,-5.351811018115594,10.0,-5.65678336581515,10.0,7.059999999999999,10.0,-8.620000000000005,-6.216113652996868,27.3604957543713,0.7289686274214112,0.684547105928689,2
114,-7.785522857067021,-7.450702871978192,-5.3098894407131825,13.399999999999968,9.847302035261214,15.39999999999996,25.372656089828947,13.399999999999968,26.911200000000086,-8.14047680195367,6.967418367617745,-2.6838707544766516,-4.657133053202454,10.0,-4.676783365815149,10.0,6.079999999999998,10.0,-9.600000000000005,1.2620699591849571,27.441327168415846,0.7705132427757887,0.6374239897486903,2
115,-7.7060486733908435,-7.350702871978192,-5.346660771245207,13.499999999999968,9.810334201603062,15.49999999999996,25.423656089828945,13.499999999999968,26.811200000000085,-8.04047680195367,7.947418367617745,10.0,-3.677133053202454,10.0,-3.696783365815149,10.0,5.099999999999998,10.0,-10.0,10.0,27.478557680382306,0.8090169943749478,0.5877852522924727,2
116,-7.636374489714666,-7.450702871978192,-5.393232101777231,13.599999999999968,9.763566367944911,15.599999999999959,25.484456089828946,13.599999999999968,26.721000000000085,-8.14047680195367,6.967418367617745,-10.0,-4.657133053202454,10.0,-4.676783365815149,10.0,6.079999999999998,10.0,-9.02,-10.0,27.457275762646645,0.8443279255020152,0.5358267949789964,2
117,-7.576500306038489,-7.550702871978191,-5.449603432309256,13.699999999999967,9.70699853428676,15.699999999999958,25.555056089828945,13.699999999999967,26.640600000000084,-8.240476801953669,5.987418367617744,-10.0,-5.637133053202454,10.0,-5.65678336581515,10.0,7.059999999999999,10.0,-8.04,-10.0,27.540411773524617,0.8763066800438636,0.4817536741017154,2
118,-7.526426122362311,-7.650702871978191,-5.51577476284128,13.799999999999967,9.660230700628608,15.799999999999958,25.635456089828946,13.799999999999967,26.570000000000086,-8.340476801953669,5.007418367617744,-10.0,-6.617133053202455,10.0,-4.676783365815149,10.0,8.04,10.0,-7.059999999999999,-10.0,27.63442750011682,0.9048270524660194,0.42577929156507305,2
119,-7.466551938686134,-7.591678968811447,-5.572146093373305,13.899999999999967,9.623262866970457,15.899999999999958,25.706056089828945,13.899999999999967,26.489600000000085,-8.2646132246543,5.987418367617744,5.902390316674368,-5.637133053202454,10.0,-3.696783365815149,10.0,7.059999999999999,10.0,-8.04,7.586357729936884,27.739295671956473,0.9297764858882511,0.36812455268467875,2
120,-7.396877755009957,-7.491678968811447,-5.618717423905329,13.999999999999966,9.596095033312306,15.999999999999957,25.766856089828945,13.999999999999966,26.399400000000085,-8.1646132246543,6.967418367617745,10.0,-4.657133053202454,10.0,-2.7167833658151492,10.0,6.079999999999998,10.0,-9.02,10.0,27.754996329391975,0.9510565162951532,0.30901699437494856,2
121,-7.33700357133378,-7.591678968811447,-5.675088754437353,14.099999999999966,9.578727199654155,16.09999999999996,25.837456089828944,14.099999999999966,26.319000000000084,-8.2646132246543,5.987418367617744,-10.0,-5.637133053202454,10.0,-1.7367833658151492,10.0,7.059999999999999,10.0,-8.04,-10.0,27.74530883503158,0.9685831611286312,0.24868988716485457,2
122,-7.286929387657602,-7.691678968811447,-5.741260084969378,14.199999999999966,9.559747682444039,16.19999999999996,25.917856089828945,14.199999999999966,26.248400000000085,-8.364613224654299,5.007418367617744,-10.0,-6.617133053202455,10.0,-1.8979517210116141,10.0,8.04,10.0,-7.059999999999999,-10.0,27.841068723366014,0.9822872507286886,0.18738131458572474,2
123,-7.227055203981425,-7.670960679873903,-5.797631415501402,14.299999999999965,9.530968165233922,16.29999999999996,25.988456089828944,14.299999999999965,26.168000000000085,-8.353310053118067,5.987418367617744,2.071828893754352,-5.637133053202454,10.0,-2.8779517210116143,10.0,7.059999999999999,10.0,-8.04,1.1303171536231624,27.947580481298537,0.9921147013144778,0.12533323356430473,2
124,-7.176981020305247,-7.770960679873903,-5.863802746033427,14.399999999999965,9.511988648023806,16.399999999999963,26.068856089828945,14.399999999999965,26.097400000000086,-8.453310053118066,5.007418367617744,-10.0,-6.617133053202455,10.0,-1.8979517210116144,10.0,8.04,10.0,-7.059999999999999,-10.0,27.988962133706487,0.9980267284282716,0.0627905195293142,2
125,-7.11710683662907,-7.670960679873903,-5.920174076565451,14.499999999999964,9.50280913081369,16.499999999999964,26.139456089828943,14.499999999999964,26.017000000000085,-8.353310053118067,5.987418367617744,10.0,-5.637133053202454,10.0,-0.9179517210116144,10.0,7.059999999999999,10.0,-8.04,10.0,28.096315720318955,1.0,1.1943401194869635e-15,2
