,Drone 1 x,Drone 1 y,Drone 1 vx,Drone 1 vy,Drone 2 x,Drone 2 y,Drone 2 vx,Drone 2 vy,Drone 3 x,Drone 3 y,Drone 3 vx,Drone 3 vy,Drone 4 x,Drone 4 y,Drone 4 vx,Drone 4 vy,Drone 5 x,Drone 5 y,Drone 5 vx,Drone 5 vy,Drone 6 x,Drone 6 y,Drone 6 vx,Drone 6 vy,Drone 7 x,Drone 7 y,Drone 7 vx,Drone 7 vy,Drone 8 x,Drone 8 y,Drone 8 vx,Drone 8 vy,Drone 9 x,Drone 9 y,Drone 9 vx,Drone 9 vy,Drone 10 x,Drone 10 y,Drone 10 vx,Drone 10 vy,Drone 11 x,Drone 11 y,Drone 11 vx,Drone 11 vy,Drone 12 x,Drone 12 y,Drone 12 vx,Drone 12 vy,Drone 13 x,Drone 13 y,Drone 13 vx,Drone 13 vy,Drone 14 x,Drone 14 y,Drone 14 vx,Drone 14 vy,Drone 15 x,Drone 15 y,Drone 15 vx,Drone 15 vy,Drone 16 x,Drone 16 y,Drone 16 vx,Drone 16 vy,Drone 17 x,Drone 17 y,Drone 17 vx,Drone 17 vy,Drone 18 x,Drone 18 y,Drone 18 vx,Drone 18 vy,Drone 19 x,Drone 19 y,Drone 19 vx,Drone 19 vy,Drone 20 x,Drone 20 y,Drone 20 vx,Drone 20 vy,Intention
1185,0.0,0.0,-0.0,-0.0,0.0,5.69747472840987,-0.0,-0.24095602961584323,0.0,167.7380824794315,-0.0,0.011536582968831102,0.0,172.80159099808574,-0.0,-0.016432791526969144,0.0,17.57747367601785,-0.0,0.04456884422480493,0.0,22.25649586659475,-0.0,0.09934338659344341,0.0,53.406708425228466,-0.0,-0.5353645796823305,0.0,115.8804081808899,-0.0,-0.4984435158927255,15.729377875497649,188.4093403668654,-0.23355596962102598,-0.41977720565917,99.29486155651523,284.6929483717547,-0.2546053403877816,-0.21329942603347574,264.09711641913304,333.0505220940364,0.0038168966346938116,0.04106930159080912,402.25754912322066,283.78525407616075,0.2286432038717606,-0.16828195287990091,482.3680876950433,191.06055597419837,0.21647193261347625,-0.42958544536867355,500.0,113.83986662198403,0.0,-0.4638375541163735,500.0,54.303455293652135,0.0,-0.56219300094593,500.0,32.16457847118842,0.0,0.06831476486374598,500.0,27.54668432755987,0.0,0.06539943652155021,500.0,14.064177002437386,0.0,0.0382669888544708,500.0,9.45495773106873,0.0,0.09948874426452348,500.0,0.0,0.0,-0.0,2.0
1186,0.0,0.0,-0.0,-0.0,0.0,5.521451857961571,-0.0,-0.17602287044829895,0.0,167.74711143045414,-0.0,0.00902895102263182,0.0,172.82712829693824,-0.0,0.025537298852498794,0.0,17.633972950241073,-0.0,0.05649927422322321,0.0,22.272985416832118,-0.0,0.01648955023736668,0.0,52.89116549008357,-0.0,-0.5155429351448954,0.0,115.40651935118096,-0.0,-0.47388882970893914,15.526640692480377,187.9591326751676,-0.20273718301727145,-0.4502076916977725,99.0847704883698,284.4893512613306,-0.21009106814543577,-0.2035971104240562,264.14587729678766,333.01064631724927,0.04876087765459108,-0.03987577678715267,402.49137357648453,283.60644936977155,0.23382445326389736,-0.17880470638920726,482.5592563664471,190.64033910711777,0.19116867140379218,-0.42021686708059347,500.0,113.33558842109291,0.0,-0.5042782008911199,500.0,53.73644134165401,0.0,-0.5670139519981242,500.0,32.167043019254706,0.0,0.002464548066287306,500.0,27.6561734622169,0.0,0.10948913465703,500.0,14.170906258233108,0.0,0.10672925579572144,500.0,9.509506406149908,0.0,0.05454867508117936,500.0,0.0,0.0,-0.0,2.0
1187,0.0,0.0,-0.0,-0.0,0.0,5.3704715993211,-0.0,-0.1509802586404712,0.0,167.7468782079291,-0.0,-0.0002332225250498421,0.0,172.79095019656694,-0.0,-0.0361781003712922,0.0,17.75411088780555,-0.0,0.12013793756447617,0.0,22.40197581217544,-0.0,0.12899039534332088,0.0,52.37547741110238,-0.0,-0.5156880789811943,0.0,114.91720275497903,-0.0,-0.4893165962019309,15.344328068905364,187.56863537327837,-0.18231262357501396,-0.3904973018892455,98.84401997546922,284.35077894005633,-0.24075051290057972,-0.1385723212742755,264.2247908208397,333.02660781264274,0.07891352405205143,0.01596149539349377,402.72544234583785,283.3921702358214,0.23406876935333018,-0.2142791339501045,482.7753186794506,190.22958927115798,0.21606231300353912,-0.4107498359597816,500.0,112.80582915591461,0.0,-0.5297592651783004,500.0,53.229650079742605,0.0,-0.5067912619114047,500.0,32.274039778574156,0.0,0.10699675931945328,500.0,27.73161960083471,0.0,0.07544613861780902,500.0,14.25178671732626,0.0,0.08088045909315145,500.0,9.633205742085543,0.0,0.1236993359356346,500.0,0.0,0.0,-0.0,2.0
1188,0.0,0.0,-0.0,-0.0,0.0,5.203159326728012,-0.0,-0.16731227259308776,0.0,167.73635518782237,-0.0,-0.01052302010671908,0.0,172.72177640498168,-0.0,-0.06917379158526933,0.0,17.83852368634139,-0.0,0.08441279853584092,0.0,22.481450524649482,-0.0,0.07947471247404003,0.0,51.879654016149146,-0.0,-0.49582339495323685,0.0,114.44244322320725,-0.0,-0.47475953177177915,15.157464740395051,187.13786953317535,-0.18686332851031248,-0.4307658401030335,98.62342329517573,284.21128479146256,-0.22059668029350368,-0.13949414859378428,264.22383901806114,333.0120823643123,-0.0009518027785343497,-0.014525448330465004,403.0300852307794,283.2227534608128,0.30464288494154695,-0.16941677500865138,483.0059825198624,189.8281939525004,0.2306638404117928,-0.40139531865755507,500.0,112.30556060960163,0.0,-0.5002685463129763,500.0,52.73818619108544,0.0,-0.4914638886571627,500.0,32.332962053562184,0.0,0.058922274988026734,500.0,27.808817575015063,0.0,0.07719797418035235,500.0,14.35908334018216,0.0,0.10729662285590023,500.0,9.750266891896043,0.0,0.11706114981050006,500.0,0.0,0.0,-0.0,2.0
1189,0.0,0.0,-0.0,-0.0,0.0,5.067699580353941,-0.0,-0.1354597463740713,0.0,167.7122235642668,-0.0,-0.024131623555588882,0.0,172.76513927921147,-0.0,0.04336287422977765,0.0,17.888260125128355,-0.0,0.04973643878696622,0.0,22.5033397544334,-0.0,0.021889229783919203,0.0,51.33870780414622,-0.0,-0.5409462120029275,0.0,113.91725377811264,-0.0,-0.5251894450946043,14.921032170950209,186.6669032401434,-0.23643256944484287,-0.47096629303194826,98.34785228154726,284.03606851321973,-0.27557101362845976,-0.17521627824280395,264.22290072796505,333.00789079946037,-0.0009382900960852661,-0.004191564851883915,403.2544322918979,282.9970898165116,0.22434706111852773,-0.22566364430116975,483.2810582793588,189.3660866006092,0.2750757594963568,-0.4621073518912081,500.0,111.7798084707256,0.0,-0.5257521388760303,500.0,52.23708578340135,0.0,-0.5011004076840918,500.0,32.43513653366381,0.0,0.10217448010162132,500.0,27.906464822569784,0.0,0.09764724755472062,500.0,14.444853329921317,0.0,0.08576998973915663,500.0,9.806512158186521,0.0,0.056245266290477575,500.0,0.0,0.0,-0.0,2.0
